data_content_id,filename,multi_step_id,block_index,rex_type,question_content,detailed_solution,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_F,Feedback_A,Feedback_B,Feedback_C,Feedback_D,Feedback_E,Feedback_F,correct_answer,background,nickname,TEKS,machine_readable_teks,section_UUID
45f1e65a-e06a-4a68-96c1-c4915b0f12af,040b9671-0d98-45dd-a3b8-b50daf74436d.html,PLA_1,0,multiple_choice,"<table class=""os-raise-midsizetable"">
<thead>
<tr>
<th scope=""col"">hour</th>
<th scope=""col"">number of bacteria</th>
</tr>
</thead>
<tbody>
<tr>
<td> 0 </td>
<td> 500 </td>
</tr>
<tr>
<td> 1 </td>
<td>a. _____</td>
</tr>
<tr>
<td> 2 </td>
<td>b. _____</td>
</tr>
<tr>
<td> 3 </td>
<td>c. _____</td>
</tr>
<tr>
<td> 6 </td>
<td>d. _____</td>
</tr>
<tr>
<td> \(t\) </td>
<td>e. _____</td>
</tr>
</tbody>
</table>",,\(500+2\),\(500⋅2\),,,,,,<p>Correct!</p>,,,,,B,"<p>
 In an exponential function, the output is multiplied by the same factor every time the input increases by one. The multiplier is called the
 <span class=""os-raise-ib-tooltip"" data-schema-version=""1.0"" data-store=""glossary-tooltip"">
  growth factor
 </span>
 .
</p>
<ol class=""os-raise-noindent"">
 <li>
  In a biology lab, 500 bacteria reproduce by splitting. Every hour, on the hour, each bacterium splits into two bacteria. Fill in the table by writing an expression to show the number of bacteria after each hour.
 </li>
</ol>",Alg1_5_4_3_PLA_1,"A1.9.A,A1.9.B,A1.9.C,A1.9.D","2d409450-219a-5a3a-855e-fef386b69dfa,9d63ceb5-41e3-508b-b27d-f5af6e221bc9,b49b0afb-9a3b-5db1-90ab-3583cf469642,cc5e36e1-0279-5845-a28a-39cdd69d59f7",49c80861-9bdd-42d6-aafc-1ec7907a405a
09d44157-dda4-4f73-a594-d4763128ee00,040b9671-0d98-45dd-a3b8-b50daf74436d.html,PLA_1,1,multiple_choice,"<ol class=""os-raise-noindent"">
<ol class=""os-raise-noindent"" start=""2"" type=""a"">
<li> _____</li>
</ol>
</ol>",,\(500+2+2\),\(500⋅2⋅2\),,,,,,<p>Correct!</p>,,,,,B,"<p>
 In an exponential function, the output is multiplied by the same factor every time the input increases by one. The multiplier is called the
 <span class=""os-raise-ib-tooltip"" data-schema-version=""1.0"" data-store=""glossary-tooltip"">
  growth factor
 </span>
 .
</p>
<ol class=""os-raise-noindent"">
 <li>
  In a biology lab, 500 bacteria reproduce by splitting. Every hour, on the hour, each bacterium splits into two bacteria. Fill in the table by writing an expression to show the number of bacteria after each hour.
 </li>
</ol>",Alg1_5_4_3_PLA_1,"A1.9.A,A1.9.B,A1.9.C,A1.9.D","2d409450-219a-5a3a-855e-fef386b69dfa,9d63ceb5-41e3-508b-b27d-f5af6e221bc9,b49b0afb-9a3b-5db1-90ab-3583cf469642,cc5e36e1-0279-5845-a28a-39cdd69d59f7",49c80861-9bdd-42d6-aafc-1ec7907a405a
ccb60b8d-2271-47f4-a71e-5bddc5341d0c,040b9671-0d98-45dd-a3b8-b50daf74436d.html,PLA_1,2,multiple_choice,"<ol class=""os-raise-noindent"">
<ol class=""os-raise-noindent"" start=""3"" type=""a"">
<li>_____</li>
</ol>
</ol>",,\(500+2+2+2\),\(500⋅2⋅2⋅2\),,,,,,<p>Correct! The answer could also be written \(500⋅2^3\).</p>,,,,,B,"<p>
 In an exponential function, the output is multiplied by the same factor every time the input increases by one. The multiplier is called the
 <span class=""os-raise-ib-tooltip"" data-schema-version=""1.0"" data-store=""glossary-tooltip"">
  growth factor
 </span>
 .
</p>
<ol class=""os-raise-noindent"">
 <li>
  In a biology lab, 500 bacteria reproduce by splitting. Every hour, on the hour, each bacterium splits into two bacteria. Fill in the table by writing an expression to show the number of bacteria after each hour.
 </li>
</ol>",Alg1_5_4_3_PLA_1,"A1.9.A,A1.9.B,A1.9.C,A1.9.D","2d409450-219a-5a3a-855e-fef386b69dfa,9d63ceb5-41e3-508b-b27d-f5af6e221bc9,b49b0afb-9a3b-5db1-90ab-3583cf469642,cc5e36e1-0279-5845-a28a-39cdd69d59f7",49c80861-9bdd-42d6-aafc-1ec7907a405a
f695ce12-a152-4149-a08d-87794c510aa2,040b9671-0d98-45dd-a3b8-b50daf74436d.html,PLA_1,3,multiple_choice,"<ol class=""os-raise-noindent"">
<ol class=""os-raise-noindent"" start=""4"" type=""a"">
<li>_____</li>
</ol>
</ol>",,\(500+2+2+2+2\),\(500+2+2+2+2+2+2\),\(500⋅2⋅2⋅2⋅2\),\(500⋅2⋅2⋅2⋅2⋅2⋅2\),,,,,,<p>Correct! The answer could also be written \(500\cdot2^6\).</p>,,,D,"<p>
 In an exponential function, the output is multiplied by the same factor every time the input increases by one. The multiplier is called the
 <span class=""os-raise-ib-tooltip"" data-schema-version=""1.0"" data-store=""glossary-tooltip"">
  growth factor
 </span>
 .
</p>
<ol class=""os-raise-noindent"">
 <li>
  In a biology lab, 500 bacteria reproduce by splitting. Every hour, on the hour, each bacterium splits into two bacteria. Fill in the table by writing an expression to show the number of bacteria after each hour.
 </li>
</ol>",Alg1_5_4_3_PLA_1,"A1.9.A,A1.9.B,A1.9.C,A1.9.D","2d409450-219a-5a3a-855e-fef386b69dfa,9d63ceb5-41e3-508b-b27d-f5af6e221bc9,b49b0afb-9a3b-5db1-90ab-3583cf469642,cc5e36e1-0279-5845-a28a-39cdd69d59f7",49c80861-9bdd-42d6-aafc-1ec7907a405a
f73d18f8-613f-407f-ad39-e58f0fb533de,040b9671-0d98-45dd-a3b8-b50daf74436d.html,PLA_1,4,multiple_choice,"<ol class=""os-raise-noindent"">
<ol class=""os-raise-noindent"" start=""5"" type=""a"">
<li>_____</li>
</ol>
</ol>",,\(500+2t\),\(500+2^t\),\(500⋅2^t\),\(500⋅2⋅t\),,,,,<p>Correct!</p>,,,,C,"<p>
 In an exponential function, the output is multiplied by the same factor every time the input increases by one. The multiplier is called the
 <span class=""os-raise-ib-tooltip"" data-schema-version=""1.0"" data-store=""glossary-tooltip"">
  growth factor
 </span>
 .
</p>
<ol class=""os-raise-noindent"">
 <li>
  In a biology lab, 500 bacteria reproduce by splitting. Every hour, on the hour, each bacterium splits into two bacteria. Fill in the table by writing an expression to show the number of bacteria after each hour.
 </li>
</ol>",Alg1_5_4_3_PLA_1,"A1.9.A,A1.9.B,A1.9.C,A1.9.D","2d409450-219a-5a3a-855e-fef386b69dfa,9d63ceb5-41e3-508b-b27d-f5af6e221bc9,b49b0afb-9a3b-5db1-90ab-3583cf469642,cc5e36e1-0279-5845-a28a-39cdd69d59f7",49c80861-9bdd-42d6-aafc-1ec7907a405a
2857bb7f-d0f9-4dbd-a6cb-ef80fde33db9,040b9671-0d98-45dd-a3b8-b50daf74436d.html,PLA_1,5,multiple_choice,,,\(n=500+2t\),\(n=500+2^t\),\(n=500⋅2^t\),\(n=500⋅2⋅t\),,,,,<p>Correct!</p>,,,,C,"<p>
 In an exponential function, the output is multiplied by the same factor every time the input increases by one. The multiplier is called the
 <span class=""os-raise-ib-tooltip"" data-schema-version=""1.0"" data-store=""glossary-tooltip"">
  growth factor
 </span>
 .
</p>
<ol class=""os-raise-noindent"">
 <li>
  In a biology lab, 500 bacteria reproduce by splitting. Every hour, on the hour, each bacterium splits into two bacteria. Fill in the table by writing an expression to show the number of bacteria after each hour.
 </li>
</ol>",Alg1_5_4_3_PLA_1,"A1.9.A,A1.9.B,A1.9.C,A1.9.D","2d409450-219a-5a3a-855e-fef386b69dfa,9d63ceb5-41e3-508b-b27d-f5af6e221bc9,b49b0afb-9a3b-5db1-90ab-3583cf469642,cc5e36e1-0279-5845-a28a-39cdd69d59f7",49c80861-9bdd-42d6-aafc-1ec7907a405a
f0cd79c8-62c6-4438-b2dc-6771218e3b2e,040b9671-0d98-45dd-a3b8-b50daf74436d.html,PLA_1,6,open_ended,"<ol class=""os-raise-noindent"">
<ol class=""os-raise-noindent"" start=""3"">
<li>Use your equation to find \(n\) when \(t\) is 0. What does this value of \(n\) mean in this situation?</li>
</ol>
</ol><br/><p>Enter your answer here:</p>","<p>Compare your answer:</p>
<p> 500; When \(t\) is 0, \(n=500\cdot2^0\). Because \(2^0=1\), \(n=500\cdot1\) or \(n=500\). 500 is the number of bacteria at the starting time or at hour 0.</p>",,,,,,,,,,,,,,"<p>
 In an exponential function, the output is multiplied by the same factor every time the input increases by one. The multiplier is called the
 <span class=""os-raise-ib-tooltip"" data-schema-version=""1.0"" data-store=""glossary-tooltip"">
  growth factor
 </span>
 .
</p>
<ol class=""os-raise-noindent"">
 <li>
  In a biology lab, 500 bacteria reproduce by splitting. Every hour, on the hour, each bacterium splits into two bacteria. Fill in the table by writing an expression to show the number of bacteria after each hour.
 </li>
</ol>",Alg1_5_4_3_PLA_1,"A1.9.A,A1.9.B,A1.9.C,A1.9.D","2d409450-219a-5a3a-855e-fef386b69dfa,9d63ceb5-41e3-508b-b27d-f5af6e221bc9,b49b0afb-9a3b-5db1-90ab-3583cf469642,cc5e36e1-0279-5845-a28a-39cdd69d59f7",49c80861-9bdd-42d6-aafc-1ec7907a405a
0a0a8447-e538-4ad8-a191-2c922f58bd49,040b9671-0d98-45dd-a3b8-b50daf74436d.html,PLA_1,7,open_ended,"<ol class=""os-raise-noindent"" start=""4"">
<li> In a different biology lab, a population of single-cell parasites also reproduces hourly. An equation that gives the number of parasites, \(p\), after \(t\) hours is \(p=100\cdot3^t\). Explain what the numbers 100 and 3 mean in this situation. </li>
</ol><br/><p>Enter your answer here:</p>","<p>Compare your answer:</p>
<p> 100 is the number of parasites at hour 0 because \(100\cdot3^0=100\). The number 3 means that every hour, the number of parasites triples.</p>",,,,,,,,,,,,,,"<p>
 In an exponential function, the output is multiplied by the same factor every time the input increases by one. The multiplier is called the
 <span class=""os-raise-ib-tooltip"" data-schema-version=""1.0"" data-store=""glossary-tooltip"">
  growth factor
 </span>
 .
</p>
<ol class=""os-raise-noindent"">
 <li>
  In a biology lab, 500 bacteria reproduce by splitting. Every hour, on the hour, each bacterium splits into two bacteria. Fill in the table by writing an expression to show the number of bacteria after each hour.
 </li>
</ol>",Alg1_5_4_3_PLA_1,"A1.9.A,A1.9.B,A1.9.C,A1.9.D","2d409450-219a-5a3a-855e-fef386b69dfa,9d63ceb5-41e3-508b-b27d-f5af6e221bc9,b49b0afb-9a3b-5db1-90ab-3583cf469642,cc5e36e1-0279-5845-a28a-39cdd69d59f7",49c80861-9bdd-42d6-aafc-1ec7907a405a
90790d83-3288-4077-bd3b-dff4974d3b12,05ef8702-1f4c-43f6-a045-de508ef5c23f.html,PLA_2,0,open_ended,"<ol class=""os-raise-noindent"">
<li>Find a function, \(m(x)\), in intercept form, that has the zeros –5 and 8.</li>
</ol><br/><p>Enter a function, \(m(x)\), in intercept form.</p>","<p>Compare your answer:</p>
<p>The intercept form is \(m(x) = a(x − (-5))(x − 8)\). </p>
<p class=""os-raise-noindent"">\(= a(x + 5)(x − 8)\) </p>",,,,,,,,,,,,,,"<p>
 When finding an exact function that has particular zeros and passes through a certain point, we use the intercept form of a quadratic function:
</p>
<p>
 \(f(x) = a(x − p)(x − q)\)
</p>
<p>
 The variables \(p\) and \(q\) represent the zeros or roots of the function. The variable \(a\) accounts for any constant that might have been factored out when solving.
</p>
<p>
 Remember, if needed in the following problems, use the ""^"" symbol to enter exponents.
</p>",Alg1_8_11_3_PLA_2,A1.6.C,fa787ef7-5994-593c-9ce9-6555f4d60783,96f67fd3-3d70-4805-9fdd-7359061284e2
d0b152af-b2f1-43de-a14e-9b2fed58450d,05ef8702-1f4c-43f6-a045-de508ef5c23f.html,PLA_2,1,open_ended,"<ol class=""os-raise-noindent"" start=""2"">
<li>First, find the value of \(a\). To do this, substitute the values of the point into the intercept form of the function.</li>
</ol><br/><p>Enter the value of \(a\).</p>","<p>Compare your answer:</p>
<p>\(m(x) = a(x + 5)(x − 8)\) <br/>
      \(-60 = a((5) + 5)((5) − 8)\) <br/>
      \(-60 = a(10)(-3)\) <br/>
      \(-60 = -30a\)<br/>
        \(2 = a\)</p>",,,,,,,,,,,,,,"<p>
 When finding an exact function that has particular zeros and passes through a certain point, we use the intercept form of a quadratic function:
</p>
<p>
 \(f(x) = a(x − p)(x − q)\)
</p>
<p>
 The variables \(p\) and \(q\) represent the zeros or roots of the function. The variable \(a\) accounts for any constant that might have been factored out when solving.
</p>
<p>
 Remember, if needed in the following problems, use the ""^"" symbol to enter exponents.
</p>
<br/>
<p>
 Let's use the intercept form of the function above to find the exact function that passes through \((5, -60)\).
</p>",Alg1_8_11_3_PLA_2,A1.6.C,fa787ef7-5994-593c-9ce9-6555f4d60783,96f67fd3-3d70-4805-9fdd-7359061284e2
