data_content_id,filename,multi_step_id,block_index,rex_type,question_content,detailed_solution,Answer_A,Answer_B,Answer_C,Answer_D,Answer_E,Answer_F,Feedback_A,Feedback_B,Feedback_C,Feedback_D,Feedback_E,Feedback_F,correct_answer,background,nickname,TEKS,machine_readable_teks,section_UUID
8f7cc46d-a1c4-4f5a-a354-15049b2a8deb,002a35ca-0c06-4eb8-958c-1234ad4bed6b.html,PP_1,0,open_ended,"<ol class=""os-raise-noindent"">
<li>Here are a few pairs of positive numbers whose sum is 50.
        </li>
</ol>
<table class=""os-raise-wideequaltable"">
<thead>
<tr>
<th scope=""col"">Row</th>
<th scope=""col"">First number</th>
<th scope=""col"">Second number</th>
<th scope=""col"">Product</th>
</tr>
</thead>
<tbody>
<tr>
<td>a</td>
<td>1</td>
<td>49</td>
<td> </td>
</tr>
<tr>
<td>b</td>
<td>2</td>
<td>48</td>
<td> </td>
</tr>
<tr>
<td>c</td>
<td>10</td>
<td>40</td>
<td> </td>
</tr>
</tbody>
</table>",<p>Check your answer with the solution: 49</p>,,,,,,,,,,,,,,<p>Complete the following questions to practice the skills you have learned in this lesson.</p>,Alg1_7_1_5_PP_1,A1.7.A,0f80c030-76af-58e4-8ff8-b3e241e96594,26efa948-7f15-4be2-b8c7-b24942af0903
0728daae-21c0-401c-b410-cb252946effe,002a35ca-0c06-4eb8-958c-1234ad4bed6b.html,PP_1,1,open_ended,"<ol class=""os-raise-noindent"">
<ol class=""os-raise-noindent"" start=""2"" type=""a"">
<li> Find the product in Row b.
          </li>
</ol>
</ol>
<p> Enter your answer here: </p>",<p>Check your answer with the solution: 96</p>,,,,,,,,,,,,,,<p>Complete the following questions to practice the skills you have learned in this lesson.</p>,Alg1_7_1_5_PP_1,A1.7.A,0f80c030-76af-58e4-8ff8-b3e241e96594,26efa948-7f15-4be2-b8c7-b24942af0903
afe95dd3-a516-43ec-b210-ee6bd60ec0ed,002a35ca-0c06-4eb8-958c-1234ad4bed6b.html,PP_1,2,open_ended,"<ol class=""os-raise-noindent"">
<ol class=""os-raise-noindent"" start=""3"" type=""a"">
<li> Find the product in Row c.
          </li>
</ol>
</ol>
<p> Enter your answer here: </p>",<p>Check your answer with the solution: 400</p>,,,,,,,,,,,,,,<p>Complete the following questions to practice the skills you have learned in this lesson.</p>,Alg1_7_1_5_PP_1,A1.7.A,0f80c030-76af-58e4-8ff8-b3e241e96594,26efa948-7f15-4be2-b8c7-b24942af0903
9413357b-ef26-4b49-81e1-b738b2a4b131,002a35ca-0c06-4eb8-958c-1234ad4bed6b.html,PP_1,3,open_ended,"<p>Use the following table to answer questions 2 – 5.</p>
<p>Here are some lengths and widths of a rectangle whose perimeter is 20 meters.</p>
<table class=""os-raise-wideequaltable"">
<thead>
<tr>
<th scope=""col"">Row</th>
<th scope=""col"">Length (meters)</th>
<th scope=""col"">Width (meters)</th>
<th scope=""col"">Area (square meters)</th>
</tr>
</thead>
<tbody>
<tr>
<td>a</td>
<td>1</td>
<td>9</td>
<td> </td>
</tr>
<tr>
<td>b</td>
<td>3</td>
<td>7</td>
<td> </td>
</tr>
<tr>
<td>c</td>
<td>5</td>
<td> </td>
<td> </td>
</tr>
<tr>
<td>d</td>
<td>7</td>
<td> </td>
<td> </td>
</tr>
<tr>
<td>e</td>
<td>9</td>
<td> </td>
<td> </td>
</tr>
</tbody>
</table>",<p>Check your answer with the solution: 5</p>,,,,,,,,,,,,,,<p>Complete the following questions to practice the skills you have learned in this lesson.</p>,Alg1_7_1_5_PP_1,A1.7.A,0f80c030-76af-58e4-8ff8-b3e241e96594,26efa948-7f15-4be2-b8c7-b24942af0903
3bdbe4a2-8ac9-4461-8e39-cab8b8c02048,002a35ca-0c06-4eb8-958c-1234ad4bed6b.html,PP_1,4,open_ended,"<ol class=""os-raise-noindent"">
<ol class=""os-raise-noindent"" start=""2"" type=""a"">
<li> Width in Row d
          </li>
</ol>
</ol>
<p> Enter your answer here: </p>",<p>Check your answer with the solution: 3</p>,,,,,,,,,,,,,,<p>Complete the following questions to practice the skills you have learned in this lesson.</p>,Alg1_7_1_5_PP_1,A1.7.A,0f80c030-76af-58e4-8ff8-b3e241e96594,26efa948-7f15-4be2-b8c7-b24942af0903
8c6e57ab-e5ec-4735-bb3c-e9296390b2f0,002a35ca-0c06-4eb8-958c-1234ad4bed6b.html,PP_1,5,open_ended,"<ol class=""os-raise-noindent"">
<ol class=""os-raise-noindent"" start=""3"" type=""a"">
<li> Width in Row e
          </li>
</ol>
</ol>
<p> Enter your answer here: </p>",<p>Check your answer with the solution: 1</p>,,,,,,,,,,,,,,<p>Complete the following questions to practice the skills you have learned in this lesson.</p>,Alg1_7_1_5_PP_1,A1.7.A,0f80c030-76af-58e4-8ff8-b3e241e96594,26efa948-7f15-4be2-b8c7-b24942af0903
d3705748-965d-4519-81a4-22a359660d91,002a35ca-0c06-4eb8-958c-1234ad4bed6b.html,PP_1,6,open_ended,"<ol class=""os-raise-noindent"" start=""3"">
<li>Complete the <strong>Area</strong> column of the table. What do you notice about the areas?<p> Enter your answer here: </p>
</li>
</ol>
<ol class=""os-raise-noindent"">
<ol class=""os-raise-noindent"" type=""a"">
<li> Area in Row a
          </li>
</ol>
</ol>
<p>Enter your answer here:</p>",<p>Check your answer with the solution: 9</p>,,,,,,,,,,,,,,<p>Complete the following questions to practice the skills you have learned in this lesson.</p>,Alg1_7_1_5_PP_1,A1.7.A,0f80c030-76af-58e4-8ff8-b3e241e96594,26efa948-7f15-4be2-b8c7-b24942af0903
b3be8fc8-90dd-4020-afff-fecc37ee83c3,002a35ca-0c06-4eb8-958c-1234ad4bed6b.html,PP_1,7,open_ended,"<ol class=""os-raise-noindent"">
<ol class=""os-raise-noindent"" start=""2"" type=""a"">
<li> Area in Row b
          </li>
</ol>
</ol>
<p> Enter your answer here: </p>",<p>Check your answer with the solution: 21</p>,,,,,,,,,,,,,,<p>Complete the following questions to practice the skills you have learned in this lesson.</p>,Alg1_7_1_5_PP_1,A1.7.A,0f80c030-76af-58e4-8ff8-b3e241e96594,26efa948-7f15-4be2-b8c7-b24942af0903
28905c62-873f-4998-8834-2875d93e14bb,002a35ca-0c06-4eb8-958c-1234ad4bed6b.html,PP_1,8,open_ended,"<ol class=""os-raise-noindent"">
<ol class=""os-raise-noindent"" start=""3"" type=""a"">
<li> Area in Row c
          </li>
</ol>
</ol>
<p> Enter your answer here: </p>",<p>Check your answer with the solution: 25</p>,,,,,,,,,,,,,,<p>Complete the following questions to practice the skills you have learned in this lesson.</p>,Alg1_7_1_5_PP_1,A1.7.A,0f80c030-76af-58e4-8ff8-b3e241e96594,26efa948-7f15-4be2-b8c7-b24942af0903
c2123080-4bef-4b47-83bf-ad4a201a5385,002a35ca-0c06-4eb8-958c-1234ad4bed6b.html,PP_1,9,open_ended,"<ol class=""os-raise-noindent"">
<ol class=""os-raise-noindent"" start=""4"" type=""a"">
<li> Area in Row d
          </li>
</ol>
</ol>
<p> Enter your answer here: </p>",<p>Check your answer with the solution: 21</p>,,,,,,,,,,,,,,<p>Complete the following questions to practice the skills you have learned in this lesson.</p>,Alg1_7_1_5_PP_1,A1.7.A,0f80c030-76af-58e4-8ff8-b3e241e96594,26efa948-7f15-4be2-b8c7-b24942af0903
